Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. Noor believes that the milk pitcher contains oatmilk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task.;Noor sees her coworker swapping the milk.;Noor does not see her coworker swapping the milk.;Noor opens the fridge again and reaches for the oat milk.;Noor makes the cappuccino using the milk in the pitcher.;Does Noor believe the milk pitcher contains oat milk or almond milk?;Does Noor want to make a cappuccino with oat milk or almond milk?;What will Noor do?;Noor believes the milk pitcher contains almond milk.;Noor wants to make a cappuccino with oat milk.;Noor will open the fridge once again to take out the oat milk and replace the almond milk with oat milk.;Noor believes the milk pitcher contains oat milk.;Noor wants to make a cappuccino with oat milk.;Noor will make the cappuccino using the milk in the pitcher.;A decorative mug falls from a shelf in the coffee shop.;Noor sees the decorative mug falling from the shelf.;Noor does not see the decorative mug falling from the shelf.;auto;0
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead.;Zara reads the updated label carefully.;Zara does not read the updated label.;Zara looks for more information about the emerging artist.;Zara looks for more information about the famous artist.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Does Zara want to learn more about the painting and its artist?;What will Zara do?;Zara believes the painting is the work of an emerging artist.;Zara wants to learn more about the painting and its artist.;Zara will look for more information about the emerging artist.;Zara believes the painting is the work of a famous artist.;Zara wants to learn more about the painting and its artist.;Zara will look for more information about the famous artist.;A gallery visitor accidentally spills a glass of water near the painting.;Zara observes the water spill.;Zara does not observe the water spill.;auto;0
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. Carlos believes the valve is currently closed. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield.;Carlos sees the flooded cornfield.;Carlos does not see the flooded cornfield.;Carlos calls his neighbour to ask them if they could close the valve.;Carlos calls his neighbour to ask them if they could open the valve.;Does Carlos believe the water valve is closed or open?;Does Carlos want to open the valve to irrigate his crops or close the valve due to the flooding?;What will Carlos do?;Carlos believes the water valve is open.;Carlos wants to close the valve due to the flooding.;Carlos will call his neighbour to ask them if they could close the valve.;Carlos believes the water valve is closed.;Carlos wants to open the valve to irrigate his crops.;Carlos will call his neighbour to ask them if they could open the valve.;A group of wild turkeys wanders into the cornfield.;Carlos notices the wild turkeys in his field.;Carlos does not notice the wild turkeys in his field.;auto;0
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. Kofi believes that his fishing net is in good condition. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart.;Kofi observes the monkeys damaging his fishing net.;Kofi does not see the monkeys damaging his fishing net.;Kofi buys new repair equipment for fixing the fishing net.;Kofi goes fishing with his net.;Does Kofi believe his fishing net is in good condition or torn apart?;Does Kofi want to catch fish with his net in good condition or torn apart?;What will Kofi do?;Kofi believes his fishing net is torn apart.;Kofi wants to catch fish with his net in good condition.;Kofi will buy new repair equipment for fixing the fishing net.;Kofi believes his fishing net is in good condition.;Kofi wants to catch fish with his net in good condition.;Kofi will go fishing with his net.;A group of children starts playing a game of soccer near the shore.;Kofi watches the children playing soccer.;Kofi does not notice the children playing soccer.;auto;0
Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. Azola believes the book she ordered has arrived in the package at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf.;Azola witnesses the package swap.;Azola does not witness the package swap.;Azola retrieves the original package with the book.;Azola brings the package with the book to school.;Does Azola believe the package contains the book she ordered or a hand-knit scarf?;Does Azola want to surprise her students with a new book or a hand-knit scarf?;What will Azola do?;Azola believes the package contains a hand-knit scarf.;Azola wants to surprise her students with a new book.;Azola will retrieve the original package with the book.;Azola believes the package contains the book she ordered.;Azola wants to surprise her students with a new book.;Azola brings the package with the book to school.;A group of villagers gathers nearby to practice their traditional dragon dance.;Azola watches the villagers practicing the dragon dance.;Azola does not watch the villagers practicing the dragon dance.;user;0
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. Ravi believes that the branch has ripe mangoes ready to be harvested. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools.;Ravi sees the monkey eating the ripe mangoes.;Ravi does not see the monkey eating the ripe mangoes.;Ravi searches for another tree with ripe mangoes.;Ravi gets ready to harvest the ripe mangoes from the branch.;Does Ravi believe the branch has ripe mangoes or no ripe mangoes?;Does Ravi want to harvest ripe mangoes or search for another tree with ripe mangoes?;What will Ravi do?;Ravi believes the branch has no ripe mangoes.;Ravi wants to search for another tree with ripe mangoes.;Ravi will search for another tree with ripe mangoes.;Ravi believes the branch has ripe mangoes.;Ravi wants to harvest ripe mangoes.;Ravi will harvest the ripe mangoes from the branch.;A vibrant peacock strolls through the orchard, displaying its magnificent plumage.;Ravi admires the peacock walking through the orchard.;Ravi does not notice the peacock walking through the orchard.;auto;0
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. Kofi believes the soup contains peanut butter. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste.;Kofi notices the apprentice chef swapping the ingredients.;Kofi does not notice the apprentice chef swapping the ingredients.;Kofi adds peanut butter back into the soup.;Kofi continues cooking the soup.;Does Kofi believe the soup contains peanut butter or tomato paste?;Does Kofi want to prepare a traditional groundnut soup with peanut butter or tomato paste?;What will Kofi do?;Kofi believes the soup contains tomato paste.;Kofi wants to prepare a traditional groundnut soup with peanut butter.;Kofi will add peanut butter back into the soup.;Kofi believes the soup contains peanut butter.;Kofi wants to prepare a traditional groundnut soup with peanut butter.;Kofi will continue cooking the soup.;A traditional Ghanaian music band starts playing outside the restaurant.;Kofi hears the music band playing outside.;Kofi does not hear the music band playing outside.;auto;0
Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Kael believes that the soil is rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind.;Kael notices the change in the soil after the rainfall.;Kael does not notice the change in the soil after the rainfall.;Kael buys more fertilizer and compost for the soil.;Kael plants the high-altitude potatoes in the field.;Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?;Does Kael want to plant the high-altitude potatoes in rich, well-fertilized soil or mostly rocky dirt?;What will Kael do?;Kael believes the soil is mostly rocky dirt.;Kael wants to plant the high-altitude potatoes in rich, well-fertilized soil.;Kael will add more fertilizer and compost to the soil.;Kael believes the soil is rich and well-fertilized.;Kael wants to plant the high-altitude potatoes in rich, well-fertilized soil.;Kael will plant the high-altitude potatoes in the field.;A group of llamas wanders into Kael's village.;Kael sees the llamas wandering into the village.;Kael does not see the llamas wandering into the village.;auto;0
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. Farhan believes that the sauce he has poured is garlic sauce. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap.;Farhan notices the sauce swap.;Farhan does not notice the sauce swap.;Farhan considers swapping the hot sauce for the correct garlic sauce on the shawarma wrap.;Farhan finishes preparing the chicken shawarma wrap.;Does Farhan believe the sauce he poured is garlic sauce or hot sauce?;Does Farhan want to serve the customer a chicken shawarma wrap with garlic sauce or hot sauce?;What will Farhan do?;Farhan believes the sauce he poured is hot sauce.;Farhan wants to serve the customer a chicken shawarma wrap with garlic sauce.;Farhan will remove the hot sauce and pour the correct garlic sauce onto the shawarma wrap.;Farhan believes the sauce he poured is garlic sauce.;Farhan wants to serve the customer a chicken shawarma wrap with garlic sauce.;Farhan finishes preparing the chicken shawarma wrap.;A street musician begins playing a tune on a traditional Turkish instrument nearby.;Farhan listens to the street musician playing.;Farhan does not notice the street musician playing.;auto;0
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. He believes that the pot is full of water. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty.;Abhay notices the hole and the water leaking out.;Abhay does not notice the hole and the water leaking out.;Abhay searches for another water source to water the crops.;Abhay starts watering his crops with the water from the pot.;Does Abhay believe the pot is full of water or empty?;Does Abhay want to water his crops with the water from the pot or find another water source?;What will Abhay do?;Abhay believes the pot is empty.;Abhay wants to find another water source to water the crops.;Abhay will search for another water source to water the crops.;Abhay believes the pot is full of water.;Abhay wants to water his crops with the water from the pot.;Abhay will start watering his crops with the water from the pot.;A group of monkeys playfully chases each other through the village.;Abhay watches the group of monkeys playing.;Abhay does not watch the group of monkeys playing.;auto;0
Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a healthy-looking coral formation in a specific area of the reef. Aniket believes the coral formation is healthy. A sudden wave surge stirs up sediment, covering the once healthy coral formation and causing it to become damaged.;Aniket notices the wave surge and the sediment covering the coral.;Aniket does not notice the wave surge or the sediment covering the coral.;Aniket finds another healthy coral formation to collect samples.;Aniket collects samples from the healthy coral formation he found.;Does Aniket believe the coral formation is healthy or damaged?;Does Aniket want to collect samples from a healthy coral formation or a damaged one?;What will Aniket do?;Aniket believes the coral formation is damaged.;Aniket wants to collect samples from a healthy coral formation.;Aniket will find another healthy coral formation to collect samples.;Aniket believes the coral formation is healthy.;Aniket wants to collect samples from a healthy coral formation.;Aniket will collect samples from the healthy coral formation he found.;A school of colorful fish swims by Aniket as he works.;Aniket observes the school of fish swimming by.;Aniket does not notice the school of fish swimming by.;auto;0
Lila is a beekeeper in a small village in Eastern Europe. She wants to harvest honey from one of her beehives. The beehive is full of honey, as Lila observed during her last inspection. Lila believes the beehive is full of honey. A sudden cold snap occurs overnight, causing the bees to consume the honey to stay warm and survive, leaving the beehive nearly empty.;Lila notices the cold snap and the decreased honey in her beehive.;Lila does not notice the cold snap and the decreased honey in her beehive.;Lila decides to wait for the bees to produce more honey.;Lila harvests the honey from the beehive.;Does Lila believe the beehive is full of honey or nearly empty?;Does Lila want to harvest honey from the beehive or wait for the bees to produce more honey?;What will Lila do?;Lila believes the beehive is nearly empty.;Lila wants to wait for the bees to produce more honey.;Lila will wait for the bees to produce more honey.;Lila believes the beehive is full of honey.;Lila wants to harvest honey from the beehive.;Lila will harvest the honey from the beehive.;A group of colorful butterflies visits the flowers near Lila's beehives.;Lila watches the butterflies fluttering around her beehives.;Lila does not see the butterflies fluttering around her beehives.;auto;0
Kavi is a chef at a popular Indian restaurant in a bustling city. Kavi wants to make his signature dish, a spicy curry, for the customers tonight. Kavi checks the pantry and sees a full bottle of his favorite hot sauce. Kavi believes that there is a full bottle of hot sauce available for use. When Kavi is away, a new chef accidentally knocks over the hot sauce, spilling its contents all over the floor.;Kavi sees the spilled hot sauce on the floor.;Kavi does not see the spilled hot sauce on the floor.;Kavi will decide to make a different curry that doesn't require hot sauce.;Kavi will start preparations for his signature spicy curry.;Does Kavi believe there is a full bottle of hot sauce available or that the hot sauce has been spilled?;Does Kavi want to make his signature spicy curry or a different curry?;What will Kavi do?;Kavi believes the hot sauce has been spilled.;Kavi wants to make a different curry that doesn't require hot sauce.;Kavi will decide to make a different curry that doesn't require hot sauce.;Kavi believes there is a full bottle of hot sauce available.;Kavi wants to make his signature spicy curry.;Kavi will start preparations for his signature spicy curry.;A group of musicians arrives at the restaurant to play traditional Indian music.;Kavi notices the musicians setting up their instruments.;Kavi does not notice the musicians setting up their instruments.;auto;0
Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wants to catch some fish to provide dinner for his family. Hiroshi checks the weather forecast and sees that it will be sunny throughout the day. Hiroshi believes the weather will be sunny all day. Suddenly, a heavy rainstorm moves in, darkening the sky and causing strong waves.;Hiroshi notices the rainstorm approaching.;Hiroshi does not notice the rainstorm approaching.;Hiroshi delays his fishing trip until the storm subsides.;Hiroshi prepares his fishing gear and heads out to sea.;Does Hiroshi believe the weather will be sunny or does he expect a rainstorm?;Does Hiroshi want to catch fish during the sunny weather or wait for the storm to pass?;What will Hiroshi do?;Hiroshi believes there will be a rainstorm.;Hiroshi wants to wait for the storm to pass before attempting to catch fish.;Hiroshi will delay his fishing trip until the storm subsides.;Hiroshi believes the weather will be sunny all day.;Hiroshi wants to catch fish during the sunny weather.;Hiroshi will prepare his fishing gear and head out to sea.;A pod of dolphins swims by Hiroshi's fishing spot.;Hiroshi observes the dolphins swimming nearby.;Hiroshi does not observe the dolphins swimming nearby.;auto;0
Juan is a young chef in a small Mexican town. He wants to make a delicious salsa for the upcoming town festival. Juan buys fresh tomatoes from the market, which he believes are ripe and perfect for the salsa. He believes that the tomatoes he bought are ripe and of high quality. While Juan is away from his kitchen, a mischievous cat knocks over the bag of tomatoes, crushing them and making them unsuitable for the salsa.;Juan notices the crushed tomatoes on the floor.;Juan does not notice the crushed tomatoes on the floor.;Juan goes back to the market to buy more tomatoes.;Juan starts making the salsa with the tomatoes he bought.;Does Juan believe the tomatoes are ripe and perfect or crushed and unsuitable?;Does Juan want to make salsa with perfect tomatoes or crushed tomatoes?;What will Juan do?;Juan believes the tomatoes are crushed and unsuitable.;Juan wants to make salsa with perfect tomatoes.;Juan will go back to the market to buy more tomatoes.;Juan believes the tomatoes are ripe and perfect.;Juan wants to make salsa with perfect tomatoes.;Juan will start making the salsa with the tomatoes he bought.;A group of musicians begins to play lively tunes in the town square.;Juan hears the music coming from the town square.;Juan does not hear the music coming from the town square.;auto;0
Mei is a florist in a small town in Japan. She wants to create a beautiful bouquet using fresh flowers from her garden. Mei notices that her roses are in full bloom, with vibrant colors. She believes that the roses in her garden are in full bloom. Overnight, a sudden frost damages the roses, causing them to wilt and lose their vibrancy.;Mei sees the wilted roses in her garden the next morning.;Mei does not see the wilted roses in her garden the next morning.;Mei searches for alternative flowers to create the bouquet.;Mei picks the roses from her garden to create the bouquet.;Does Mei believe the roses in her garden are in full bloom or wilted?;Does Mei want to create a bouquet using the roses in full bloom or wilted roses?;What will Mei do?;Mei believes the roses are wilted.;Mei wants to create a bouquet using roses in full bloom.;Mei will search for alternative flowers to create the bouquet.;Mei believes the roses are in full bloom.;Mei wants to create a bouquet using roses in full bloom.;Mei will pick the roses from her garden to create the bouquet.;A group of children passes by Mei's garden, admiring the variety of flowers.;Mei watches the children admiring her garden.;Mei does not watch the children admiring her garden.;auto;0
Juanita is a skilled chef who owns a small restaurant in Mexico. Today, she wants to prepare her signature dish, chiles en nogada, for a group of tourists. Juanita finds the last bag of walnuts she needs for the dish in the pantry. She believes that the bag of walnuts is fresh and ready to use. While Juanita is busy cutting vegetables, a mouse sneaks into the pantry and nibbles on the walnuts, contaminating them.;Juanita catches the mouse eating the walnuts.;Juanita does not see the mouse eating the walnuts.;Juanita decides to buy fresh walnuts or modify the dish to exclude walnuts.;Juanita proceeds to prepare the dish using the walnuts.;Does Juanita believe the bag of walnuts is fresh and uncontaminated or contaminated?;Does Juanita want to prepare chiles en nogada with fresh walnuts or contaminated walnuts?;What will Juanita do?;Juanita believes the bag of walnuts is contaminated.;Juanita wants to prepare chiles en nogada with fresh walnuts.;Juanita will buy fresh walnuts or modify the dish to exclude walnuts.;Juanita believes the bag of walnuts is fresh and uncontaminated.;Juanita wants to prepare chiles en nogada with fresh walnuts.;Juanita will proceed to prepare the dish using the walnuts.;A mariachi band begins playing music outside the restaurant.;Juanita hears the mariachi band playing.;Juanita does not hear the mariachi band playing.;auto;0
Mei is a talented cook who decides to participate in a local cooking competition. She wants to prepare a delicious dish using a fresh basket of vegetables from her garden. Mei sees that the vegetables are freshly picked and vibrant. She believes that the vegetables are of the best quality and fresh. Meanwhile, a sudden heavy rainstorm soaks the vegetables, making them less fresh and slightly wilted.;Mei notices the rainstorm and the wet vegetables.;Mei does not notice the rainstorm or the wet vegetables.;Mei looks for alternative ingredients.;Mei starts preparing the dish using the fresh vegetables.;Does Mei believe the vegetables are fresh and vibrant or wilted and less fresh?;Does Mei want to prepare a dish using fresh and vibrant vegetables or wilted and less fresh vegetables?;What will Mei do?;Mei believes the vegetables are wilted and less fresh.;Mei wants to prepare a dish using fresh and vibrant vegetables.;Mei will dry the vegetables and find a way to revitalize them or look for alternative ingredients.;Mei believes the vegetables are fresh and vibrant.;Mei wants to prepare a dish using fresh and vibrant vegetables.;Mei will start preparing the dish using the fresh vegetables.;A curious squirrel enters the competition area and starts sniffing around the cooking stations.;Mei sees the squirrel exploring the area.;Mei does not notice the squirrel exploring the area.;auto;0
Cheng is a teacher in a rural Chinese village. Cheng wants to use a projector to show a documentary about Chinese history to his students. The projector is plugged in and turned on, as Cheng has prepared it beforehand. Cheng believes that the projector is ready to use. As the wind blows outside, the power goes out, causing the projector to turn off.;Cheng notices the power outage.;Cheng does not notice the power outage.;Cheng finds an alternative way to teach the lesson or waits for the power to return.;Cheng starts playing the documentary using the projector.;Does Cheng believe the projector is ready to use or turned off?;Does Cheng want to show the documentary using the projector or find an alternative way to teach the lesson?;What will Cheng do?;Cheng believes the projector is turned off.;Cheng wants to find an alternative way to teach the lesson or wait for the power to return.;Cheng will find an alternative way to teach the lesson or wait for the power to return.;Cheng believes the projector is ready to use.;Cheng wants to show the documentary using the projector.;Cheng will start playing the documentary using the projector.;A group of birds starts singing loudly outside the classroom.;Cheng listens to the birds singing.;Cheng does not notice the birds singing.;auto;0
Jia is a botanist visiting a beautiful botanical garden in China. Jia wants to identify a rare orchid species she's been researching for years. Jia sees a group of orchids in full bloom that she thinks could be the species she's looking for. Jia believes the orchids she sees are the rare species she's been researching. A sudden gust of wind blows through the garden, causing some petals from a nearby tree to fall and cover the orchids, making them look like a completely different species.;Jia notices the gust of wind and the petals covering the orchids.;Jia does not notice the gust of wind or the petals covering the orchids.;Jia moves the petals to check the orchids underneath.;Jia takes photos of the orchids for her research.;Does Jia believe the orchids are the rare species she's been researching or a different species?;Does Jia want to confirm the identity of the orchids she has found?;What will Jia do?;Jia believes the orchids could still be the rare species she's been researching.;Jia wants to confirm the identity of the orchids she has found.;Jia will move the petals to check the orchids underneath.;Jia believes the orchids are a different species.;Jia wants to confirm the identity of the orchids she has found.;Jia will continue searching for the rare orchid species.;A butterfly lands on a nearby flower, catching Jia's attention.;Jia observes the butterfly landing on the flower.;Jia does not notice the butterfly landing on the flower.;auto;0
Isabela is a baker in a small Argentinian town known for its delicious pastries. Isabela wants to make a batch of alfajores, a traditional Argentinian dessert, for her bakery's customers. Isabela gets a bag of powdered sugar from her pantry to dust the alfajores. Isabela believes the bag she took from the pantry is filled with powdered sugar. Her assistant, who was organizing the pantry earlier, accidentally placed a bag of flour in the powdered sugar's spot, and Isabela unknowingly grabs the bag of flour instead.;Isabela notices the flour and puts it back.;Isabela does not notice the flour.;Isabela finds the actual bag of powdered sugar and uses it to dust the alfajores.;Isabela dusts the alfajores with what she believes is powdered sugar.;Does Isabela believe the bag she took from the pantry contains powdered sugar or flour?;Does Isabela want to dust the alfajores with powdered sugar or flour?;What will Isabela do?;Isabela believes the bag she took from the pantry contains flour.;Isabela wants to dust the alfajores with powdered sugar.;Isabela will find the actual bag of powdered sugar and use it to dust the alfajores.;Isabela believes the bag she took from the pantry contains powdered sugar.;Isabela wants to dust the alfajores with powdered sugar.;Isabela will dust the alfajores with what she believes is powdered sugar.;A local musician starts playing a tango tune outside the bakery.;Isabela hears the tango music playing.;Isabela does not hear the tango;auto;0
Emeka is a farmer in a small village in Nigeria. Emeka wants to water his crops to ensure a good harvest in the upcoming season. Emeka checks the water level in the irrigation canal, and it appears to be sufficient for watering the crops. Emeka believes that the water level in the irrigation canal is sufficient. Overnight, a heavy rainfall causes flooding in the area, and the water level in the irrigation canal rises significantly, becoming too high for safe irrigation.;Emeka notices the flooding and the increased water level in the irrigation canal.;Emeka does not notice the flooding or the increased water level in the irrigation canal.;Emeka waits for the water level to decrease before irrigating his crops.;Emeka irrigates his crops with the water from the canal.;Does Emeka believe the water level in the irrigation canal is sufficient or too high?;Does Emeka want to irrigate his crops with the water level as it is?;What will Emeka do?;Emeka believes the water level in the irrigation canal is too high.;Emeka wants to wait for a safer water level before irrigating his crops.;Emeka will wait for the water level to decrease before irrigating his crops.;Emeka believes the water level in the irrigation canal is sufficient.;Emeka wants to irrigate his crops with the water level as it is.;Emeka will irrigate his crops with the water from the canal.;A group of migrating birds lands on Emeka's farm to rest.;Emeka observes the migrating birds.;Emeka does not notice the migrating birds.;auto;0
Luka is a gardener working in a beautiful park in the middle of the city. Luka wants to water the plants in the park to ensure they stay healthy and vibrant. The sky is cloudy, and Luka assumes that it might rain soon. Luka believes that it will rain soon. However, the wind picks up and blows the clouds away, revealing a bright and sunny sky.;Luka notices the clouds clearing and the sun shining.;Luka does not notice the clouds clearing and the sun shining.;Luka fetches a watering can and waters the plants.;Luka waits for the rain to water the plants.;Does Luka believe that it will rain soon, or does he think the weather has become sunny?;Does Luka want to water the plants himself or rely on the rain to do so?;What will Luka do?;Luka believes the weather has become sunny.;Luka wants to water the plants himself.;Luka will fetch a watering can and water the plants.;Luka believes that it will rain soon.;Luka wants to rely on the rain to water the plants.;Luka will wait for the rain to water the plants.;A group of children playing nearby accidentally kicks their ball into the flowerbeds.;Luka sees the children's ball land in the flowerbeds.;Luka does not see the children's ball land in the flowerbeds.;auto;0
Amaury is a baker in a small village in France. Amaury wants to make pain aux raisins, a pastry filled with raisins and custard, for the customers visiting his bakery. Amaury takes a jar of raisins from the pantry to add to the pastry dough. Amaury believes that the jar contains raisins. His assistant, while tidying the pantry, accidentally replaces the raisin jar with a jar containing sultanas without realizing the difference.;Amaury notices the jar swap.;Amaury does not notice the jar swap.;Amaury looks for the correct jar of raisins to use in the pastry.;Amaury adds the contents of the jar to the pastry dough.;Does Amaury believe the jar contains raisins or sultanas?;Does Amaury want to make pain aux raisins with the correct ingredients?;What will Amaury do?;Amaury believes the jar contains sultanas.;Amaury wants to make pain aux raisins with the correct ingredients.;Amaury will look for the correct jar of raisins to use in the pastry.;Amaury believes the jar contains raisins.;Amaury wants to make pain aux raisins with the correct ingredients.;Amaury will add the contents of the jar to the pastry dough.;A cat wanders into the bakery, drawn by the aroma of fresh bread.;Amaury spots the cat entering the bakery.;Amaury does not notice the cat entering the bakery.;auto;0
Chi is a fisherman living on a small island in the South Pacific. Chi wants to go on a fishing trip to catch some fish for his family's dinner. The sea appears calm and inviting. Chi believes that the sea is calm and inviting. Suddenly, a strong storm rolls in, causing the sea to become rough and dangerous.;Chi notices the storm and the change in the sea.;Chi does not notice the storm and the change in the sea.;Chi postpones his fishing trip until the sea calms down.;Chi embarks on his fishing trip.;Does Chi believe the sea is calm and inviting or rough and dangerous?;Does Chi want to go fishing in a calm and inviting sea or a rough and dangerous one?;What will Chi do?;Chi believes the sea is rough and dangerous.;Chi wants to go fishing in a calm and inviting sea.;Chi will postpone his fishing trip until the sea calms down.;Chi believes the sea is calm and inviting.;Chi wants to go fishing in a calm and inviting sea.;Chi will embark on his fishing trip.;A beautiful, colorful bird lands on a nearby branch, singing a melodious tune.;Chi notices the bird and listens to its song.;Chi does not notice the bird or hear its song.;auto;0
Mei is a pearl diver in a small coastal village in Japan. Mei wants to find a perfect pearl to give to her grandmother for her birthday. Mei spots an oyster at the bottom of the sea that looks to be the right size and age to contain a pearl. Mei believes that the oyster she spotted contains a pearl. A curious octopus opens the oyster, revealing that there is no pearl inside, and then swims away.;Mei notices the octopus opening the oyster.;Mei does not notice the octopus opening the oyster.;Mei searches for another oyster.;Mei dives down to collect the oyster.;Does Mei believe the oyster she spotted contains a pearl or that it is empty?;Does Mei want to collect the oyster she spotted, or does she want to search for another one?;What will Mei do?;Mei believes the oyster she spotted is empty.;Mei wants to search for another oyster.;Mei will search for another oyster.;Mei believes the oyster she spotted contains a pearl.;Mei wants to collect the oyster she spotted.;Mei will dive down to collect the oyster.;A school of brightly colored fish swims past Mei.;Mei sees the school of brightly colored fish.;Mei does not notice the school of brightly colored fish.;auto;0
Mei is a pearl diver in a small coastal town in Japan. Mei wants to dive deep into the sea to find a rare and valuable black pearl for her grandmother's birthday gift. The water in the cove is calm with barely any waves. Mei believes that the water is calm and perfect for diving. Suddenly, a storm rolls in, and the once calm water becomes rough and choppy.;Mei notices the change in the water as the storm approaches.;Mei does not notice the change in the water as the storm approaches.;Mei decides to postpone her diving until the storm passes.;Mei dives into the calm water to search for the black pearl.;Does Mei believe the water is calm and perfect for diving or rough and choppy due to the storm?;Does Mei want to dive in calm water or rough and choppy water to find the rare black pearl?;What will Mei do?;Mei believes the water is rough and choppy due to the storm.;Mei wants to dive in calm water to find the rare black pearl.;Mei will postpone her diving until the storm passes.;Mei believes the water is calm and perfect for diving.;Mei wants to dive in calm water to find the rare black pearl.;Mei will dive into the calm water to search for the black pearl.;A pod of dolphins swims near the cove.;Mei sees the pod of dolphins swimming near the cove.;Mei does not see the pod of dolphins swimming near the cove.;auto;0
